xMercuryAtSun,yMercuryAtSun,xVenusAtSun,yVenusAtSun,xEarthAtSun,yEarthAtSun,xMarsAtSun,yMarsAtSun,xMoonAtEarth,yMoonAtEarth,xPhobosAtMars,yPhobosAtMars,xDeimosAtMars,yDeimosAtMars
-21035053,-66409699,-27322578,103985169,118793685,-94072475,-78924248,227906727,-35104,-401042,-7596,4039,-3861,-23134
-17839085,-67374643,-30247979,103158243,120331809,-92051268,-80820810,227391802,48430,-401003,-7903,-3636,-20876,-2784
-14591158,-68143363,-33149292,102249168,121835679,-90004056,-82711683,226860867,129963,-382932,-2845,-8809,-7075,21685
-11300759,-68713727,-36024201,101258648,123304893,-87931399,-84596743,226313988,205841,-347705,4186,-7789,17165,14132
-7977427,-69083822,-38870410,100187456,124739052,-85833855,-86475870,225751231,272615,-296860,8238,-1223,16049,-14288
-4630780,-69251957,-41685644,99036428,126137768,-83711983,-88348941,225172663,327143,-232581,6508,6228,-8791,-21597
-1270539,-69216655,-44467655,97806468,127500651,-81566339,-90215837,224578352,366711,-157667,329,9467,-20648,2993
2093447,-68976664,-47214220,96498541,128827318,-79397482,-92076437,223968366,389162,-75467,-6084,6443,-2033,23171
5451175,-68530964,-49923142,95113679,130117386,-77205973,-93930622,223342774,393022,10209,-8492,-813,19581,9129
8792459,-67878774,-52592256,93652974,131370471,-74992374,-95778274,222701645,377617,95216,-5205,-7496,12263,-18389
12106907,-67019575,-55219429,92117583,132586189,-72757253,-97619275,222045051,343173,175230,1665,-8964,-13180,-18743
15383890,-65953127,-57802561,90508722,133764154,-70501184,-99453509,221373061,290887,245937,7343,-4071,-19159,8590
18612515,-64679495,-60339587,88827666,134903977,-68224752,-101280860,220685747,222972,303248,7822,3721,3134,23244
21781601,-63199080,-62828480,87075752,136005269,-65928551,-103101213,219983182,142650,343550,2888,8976,20800,3573
24879644,-61512655,-65267251,85254373,137067636,-63613194,-104914453,219265438,54089,363983,-4000,8238,7724,-21370
27894800,-59621412,-67653953,83364978,138090689,-61279311,-106720467,218532589,-37751,362732,-8264,2084,-16765,-14748
